date,series ,open ,high,low,prev_close,ltp ,close ,vwap ,52w_h,52w_l,volume,value,no_of_trades
14-Feb-2024,EQ,"1,009.55","1,035.70","1,007.55","1,019.80","1,020.50","1,022.70","1,023.30","1,059.40",810.30,"1,78,78,720","18,29,52,10,771.65","3,33,327"
13-Feb-2024,EQ,"1,006.00","1,027.05","1,000.30",996.10,"1,018.55","1,019.80","1,016.00","1,059.40",810.30,"1,87,06,292","19,00,55,85,172.80","2,94,962"
12-Feb-2024,EQ,"1,010.40","1,012.20",985.25,"1,010.70",994.10,996.10,996.95,"1,059.40",810.30,"80,50,066","8,02,54,92,595.25","2,31,523"
09-Feb-2024,EQ,988.85,"1,013.75",985.50,989.30,"1,010.95","1,010.70","1,005.08","1,059.40",810.30,"1,27,99,837","12,86,48,02,516.90","3,07,855"
08-Feb-2024,EQ,"1,024.10","1,028.25",985.25,"1,022.15",991.90,989.30,"1,003.64","1,059.40",810.30,"2,05,65,502","20,64,03,20,782.20","3,32,222"
07-Feb-2024,EQ,"1,028.00","1,031.55","1,013.00","1,026.40","1,022.85","1,022.15","1,020.41","1,059.40",810.30,"1,64,10,895","16,74,59,00,269.85","3,02,775"
06-Feb-2024,EQ,"1,023.55","1,034.90","1,016.70","1,023.50","1,027.75","1,026.40","1,027.06","1,059.40",810.30,"1,28,86,927","13,23,56,60,038.15","2,03,228"
05-Feb-2024,EQ,"1,022.50","1,026.45","1,012.10","1,024.00","1,021.50","1,023.50","1,020.49","1,059.40",810.30,"1,29,48,430","13,21,38,06,903.00","2,52,161"
02-Feb-2024,EQ,"1,037.10","1,050.00","1,021.65","1,025.15","1,023.50","1,024.00","1,037.09","1,059.40",796.00,"1,47,74,650","15,32,25,79,057.00","2,98,259"
01-Feb-2024,EQ,"1,033.95","1,033.95","1,017.40","1,028.15","1,024.70","1,025.15","1,025.68","1,059.40",796.00,"1,30,58,880","13,39,42,53,293.60","2,40,963"
31-Jan-2024,EQ,"1,016.80","1,039.00","1,003.25","1,016.90","1,024.70","1,028.15","1,027.23","1,059.40",796.00,"2,56,27,447","26,32,51,96,239.65","3,84,552"
30-Jan-2024,EQ,"1,014.95","1,023.85","1,008.00","1,016.40","1,014.90","1,016.90","1,015.16","1,059.40",796.00,"1,60,85,742","16,32,96,41,195.20","2,72,053"
29-Jan-2024,EQ,"1,020.00","1,032.00","1,010.00","1,009.95","1,018.15","1,016.40","1,020.75","1,059.40",796.00,"1,40,78,922","14,37,10,68,911.45","2,88,152"
25-Jan-2024,EQ,998.40,"1,015.10",988.15,999.20,"1,009.00","1,009.95","1,002.34","1,059.40",796.00,"2,83,15,035","28,38,12,51,257.00","3,42,997"
24-Jan-2024,EQ,"1,029.45","1,035.95",996.65,"1,029.05",998.30,999.20,"1,006.00","1,059.40",796.00,"3,45,78,943","34,78,62,49,969.95","3,41,150"
23-Jan-2024,EQ,"1,059.10","1,059.40","1,021.20","1,008.70","1,027.90","1,029.05","1,035.82","1,059.40",796.00,"5,07,97,448","52,61,67,82,751.05","6,69,065"
20-Jan-2024,EQ,"1,005.95","1,014.70",995.30,999.20,"1,011.50","1,008.70","1,005.17","1,043.70",796.00,"87,88,873","8,83,43,23,616.80","1,72,248"
19-Jan-2024,EQ,991.30,"1,010.90",987.55,986.35,"1,000.00",999.20,"1,002.64","1,043.70",796.00,"2,32,71,148","23,33,25,13,523.60","3,73,845"
18-Jan-2024,EQ,973.95,994.30,970.15,981.75,987.50,986.35,984.56,"1,043.70",796.00,"1,79,02,484","17,62,61,26,346.95","4,05,442"
17-Jan-2024,EQ,987.90,"1,007.80",976.75,"1,009.05",979.50,981.75,989.71,"1,043.70",796.00,"4,19,14,771","41,48,33,25,173.95","5,80,135"
16-Jan-2024,EQ,"1,006.10","1,015.80","1,004.60","1,009.85","1,007.65","1,009.05","1,010.56","1,043.70",796.00,"1,15,05,126","11,62,65,70,821.35","2,86,201"
15-Jan-2024,EQ,"1,003.50","1,011.65",999.25,"1,003.50","1,010.00","1,009.85","1,007.04","1,043.70",796.00,"1,23,88,044","12,47,52,00,079.75","3,39,028"
12-Jan-2024,EQ,994.80,"1,008.70",991.75,991.15,"1,001.95","1,003.50","1,002.83","1,043.70",796.00,"1,22,55,743","12,29,03,75,605.85","2,55,004"
11-Jan-2024,EQ,995.30,998.50,986.85,993.05,990.40,991.15,991.28,"1,043.70",796.00,"64,51,345","6,39,51,01,765.10","2,05,605"
10-Jan-2024,EQ,974.30,994.95,974.30,979.75,992.50,993.05,989.28,"1,043.70",796.00,"94,09,181","9,30,83,54,597.10","1,83,064"
09-Jan-2024,EQ,986.25,995.00,975.40,982.00,978.00,979.75,984.62,"1,043.70",796.00,"1,46,60,414","14,43,49,25,887.70","2,02,344"
08-Jan-2024,EQ,994.00,998.20,980.30,993.70,983.00,982.00,989.45,"1,043.70",796.00,"83,93,164","8,30,46,57,336.65","1,96,576"
05-Jan-2024,EQ,988.00,998.30,983.80,987.15,992.55,993.70,990.90,"1,043.70",796.00,"1,48,75,499","14,74,00,93,870.25","3,12,189"
04-Jan-2024,EQ,986.40,989.15,981.90,984.05,988.65,987.15,985.60,"1,043.70",796.00,"2,27,89,140","22,46,10,89,129.10","3,09,334"
03-Jan-2024,EQ,984.70,988.00,975.10,982.25,986.35,984.05,982.04,"1,043.70",796.00,"1,68,26,752","16,52,45,92,371.55","2,88,368"
02-Jan-2024,EQ,997.00,997.65,980.25,999.40,982.20,982.25,986.50,"1,043.70",796.00,"1,62,63,825","16,04,42,46,136.20","2,99,393"
01-Jan-2024,EQ,991.55,"1,004.85",991.00,996.60,994.00,999.40,999.54,"1,043.70",796.00,"76,83,792","7,68,02,42,979.25","1,79,252"
29-Dec-2023,EQ,"1,004.05","1,008.55",993.70,"1,005.90",998.40,996.60,997.94,"1,043.70",796.00,"1,22,80,140","12,25,48,23,841.85","2,61,570"
28-Dec-2023,EQ,"1,008.00","1,011.70",999.10,"1,002.25","1,005.55","1,005.90","1,004.75","1,043.70",796.00,"2,49,15,990","25,03,44,18,852.10","3,32,414"
27-Dec-2023,EQ,997.95,"1,004.90",992.00,995.10,"1,003.30","1,002.25",999.11,"1,043.70",796.00,"1,29,96,468","12,98,49,56,515.15","2,58,434"
26-Dec-2023,EQ,994.90,997.50,989.90,994.30,995.75,995.10,993.91,"1,043.70",796.00,"1,43,39,699","14,25,23,68,734.05","4,31,341"
22-Dec-2023,EQ,"1,002.95","1,009.55",991.60,"1,004.40",994.75,994.30,999.72,"1,043.70",796.00,"2,08,81,976","20,87,60,52,963.25","4,59,822"
21-Dec-2023,EQ,996.55,"1,010.90",989.20,"1,006.65","1,004.70","1,004.40",998.76,"1,043.70",796.00,"1,80,64,916","18,04,25,61,316.10","2,84,015"
20-Dec-2023,EQ,"1,022.00","1,022.00","1,002.00","1,015.45","1,003.90","1,006.65","1,010.88","1,043.70",796.00,"1,64,90,281","16,66,97,47,974.95","3,14,770"
